Time,PV,OP,SP,ts
0,70.72851563,17.25106049,70,15.0
15,70.70861816,16.94684029,70,15.0
30,70.58501434,16.71233368,70,15.0
45,70.43282318,16.54182816,70,15.0
60,70.35237885,16.41380692,70,15.0
75,70.291008,16.2634697,70,15.0
90,70.2144928,16.1790123,70,15.0
105,70.03192902,16.21312332,70,15.0
120,69.92776489,16.26073074,70,15.0
135,69.87473297,16.33326721,70,15.0
150,69.74028015,16.4879818,70,15.0
165,69.63541412,16.68777657,70,15.0
180,69.62731171,16.89014816,70,15.0
195,69.50198364,17.16155052,70,15.0
210,69.30078125,17.60190773,70,15.0
225,69.30078125,17.83831787,70,15.0
240,69.17266083,18.35106468,70,15.0
255,69.15003967,18.75556564,70,15.0
270,69.1384964,19.14856529,70,15.0
285,69.12695313,19.59412193,70,15.0
300,69.15461731,19.94896317,70,15.0
315,69.15234375,20.41686249,70,15.0
330,69.09648132,20.91044426,70,15.0
345,69.02736664,21.47445107,70,15.0
360,69.14009094,21.86317635,70,15.0
375,69.11681366,22.35923958,70,15.0
390,69.12187195,22.78983498,70,15.0
405,69.18787384,23.13048172,70,15.0
420,69.28122711,23.52333069,70,15.0
435,69.25196838,23.89980698,70,15.0
450,69.35788727,24.17082787,70,15.0
465,69.42046356,24.44953537,70,15.0
480,69.53640747,24.66467476,70,15.0
495,69.66291809,24.75437546,70,15.0
510,69.75291443,24.85787201,70,15.0
525,69.84288788,24.91768837,70,15.0
540,69.94464111,24.9132576,70,15.0
555,70.02927399,24.87989235,70,15.0
570,70.16963959,24.71696091,70,15.0
585,70.3163681,24.50227356,70,15.0
600,70.40877533,24.29468155,70,15.0
615,70.45858002,24.0962925,70,15.0
630,70.55758667,23.74178505,70,15.0
645,70.66989899,23.36754608,70,15.0
660,70.74663544,22.95957375,70,15.0
675,70.83541107,22.52737999,70,15.0
690,70.91836548,22.00635147,70,15.0
705,70.95407104,21.53555489,70,15.0
720,70.97344208,21.07258415,70,15.0
735,70.96833801,20.59202194,70,15.0
750,71.05426788,20.05136299,70,15.0
765,71.13908386,19.37423897,70,15.0
780,71.01960754,18.97416878,70,15.0
795,70.95468903,18.56564713,70,15.0
810,70.93281555,18.11456871,70,15.0
825,70.86837769,17.71133232,70,15.0
840,70.79415894,17.34501457,70,15.0
855,70.6184082,17.0890255,70,15.0
870,70.578125,16.81452751,70,15.0
885,70.595047,16.5350666,70,15.0
900,70.49076843,16.28655815,70,15.0
915,70.41251373,16.11888695,70,15.0
930,70.40234375,15.95853806,70,15.0
945,70.31903839,15.8422308,70,15.0
960,70.24806213,15.76939774,70,15.0
975,70.06878662,15.79154301,70,15.0
990,69.95639801,15.82429409,70,15.0
1005,69.90105438,15.84830093,70,15.0
1020,69.85449982,15.91110992,70,15.0
1035,69.80470276,16.02071571,70,15.0
1050,69.64605713,16.25029182,70,15.0
1065,69.58594513,16.47968102,70,15.0
1080,69.54105377,16.71524811,70,15.0
1095,69.43621063,17.02563858,70,15.0
1110,69.37230682,17.36217499,70,15.0
1125,69.24687958,17.83476639,70,15.0
1140,69.22187805,18.21532059,70,15.0
1155,69.19298553,18.62870789,70,15.0
1170,69.13332367,19.05733871,70,15.0
1185,69.08463287,19.5658226,70,15.0
1200,69.07263184,19.96478844,70,15.0
1215,68.92777252,20.49009705,70,15.0
1230,69.2518692,20.75530243,70,15.0
1245,68.99086761,21.41232109,70,15.0
1260,69.05271912,21.85340118,70,15.0
1275,69.09759521,22.33937263,70,15.0
1290,69.24808502,22.67258072,70,15.0
1305,69.10160065,23.08680725,70,15.0
1320,69.12271881,23.51852417,70,15.0
1335,69.2878418,23.80218124,70,15.0
1350,69.43205261,24.06846046,70,15.0
1365,69.45798492,24.33161354,70,15.0
1380,69.55778503,24.50766945,70,15.0
1395,69.70308685,24.61813927,70,15.0
1410,69.74542999,24.73735428,70,15.0
1425,70.02920532,24.63627052,70,15.0
1440,70.06759644,24.59135818,70,15.0
1455,70.10591125,24.54647446,70,15.0
1470,70.17128754,24.45776939,70,15.0
1485,70.27731323,24.30326271,70,15.0
1500,70.34080505,24.12830162,70,15.0
1515,70.51083374,23.85282707,70,15.0
1530,70.68199921,23.46058655,70,15.0
1545,70.77889252,22.97862244,70,15.0
1560,70.78438568,22.58974075,70,15.0
1575,70.78357697,22.21250916,70,15.0
1590,70.87789917,21.72452354,70,15.0
1605,70.91368103,21.22472,70,15.0
1620,70.87384033,20.79601097,70,15.0
1635,70.89802551,20.35870934,70,15.0
1650,70.92537689,19.93150711,70,15.0
1665,70.96369171,19.36308861,70,15.0
1680,70.89161682,18.95679283,70,15.0
