Time,SP,PV,OP
18/07/24 0:51,6.332000256,6.353000164,24.96999931
18/07/24 0:51,6.332000256,6.353000164,24.96999931
18/07/24 0:51,6.332000256,6.353000164,24.96999931
18/07/24 0:51,6.34100008,6.347000122,25.01999855
18/07/24 0:51,6.34100008,6.347000122,25.01999855
18/07/24 0:51,6.335000515,6.354000092,24.96999931
18/07/24 0:51,6.323000431,6.352000237,24.93999863
18/07/24 0:52,6.316000462,6.354000092,24.90999985
18/07/24 0:52,6.31000042,6.353000164,24.88999939
18/07/24 0:52,6.320000172,6.354000092,24.92000008
18/07/24 0:52,6.317000389,6.355000496,24.89999962
18/07/24 0:52,6.326000214,6.361000538,24.90999985
18/07/24 0:52,6.322000504,6.352000237,24.9299984
18/07/24 0:52,6.323000431,6.352000237,24.9299984
18/07/24 0:52,6.335000515,6.358000278,24.94999886
18/07/24 0:52,6.308000088,6.367000103,24.82999992
18/07/24 0:52,6.299000263,6.358000278,24.82999992
18/07/24 0:52,6.31000042,6.348000526,24.89999962
18/07/24 0:52,6.308000088,6.356000423,24.8599987
18/07/24 0:52,6.312000275,6.352000237,24.88999939
18/07/24 0:52,6.315000534,6.359000206,24.86999893
18/07/24 0:52,6.318000317,6.362000465,24.86999893
18/07/24 0:52,6.30300045,6.354000092,24.84999847
18/07/24 0:52,6.295000076,6.351000309,24.82999992
18/07/24 0:52,6.329000473,6.353000164,24.9299984
18/07/24 0:52,6.331000328,6.355000496,24.93999863
18/07/24 0:52,6.330000401,6.353000164,24.93999863
18/07/24 0:52,6.329000473,6.356000423,24.9299984
18/07/24 0:52,6.329000473,6.356000423,24.92000008
18/07/24 0:52,6.333000183,6.357000351,24.9299984
18/07/24 0:52,6.327000141,6.357000351,24.92000008
18/07/24 0:52,6.327000141,6.357000351,24.92000008
18/07/24 0:52,6.306000233,6.339000225,24.89999962
18/07/24 0:52,6.30300045,6.360000134,24.81999969
18/07/24 0:52,6.328000069,6.36400032,24.88999939
18/07/24 0:52,6.336000443,6.359000206,24.9299984
18/07/24 0:52,6.335000515,6.356000423,24.93999863
18/07/24 0:52,6.326000214,6.355000496,24.90999985
18/07/24 0:52,6.315000534,6.354000092,24.87999916
18/07/24 0:52,6.31400013,6.357000351,24.8599987
18/07/24 0:52,6.305000305,6.361000538,24.81999969
18/07/24 0:52,6.30700016,6.359000206,24.82999992
18/07/24 0:52,6.309000492,6.353000164,24.8599987
18/07/24 0:52,6.347000122,6.359000206,24.95999908
18/07/24 0:52,6.34100008,6.356000423,24.94999886
18/07/24 0:52,6.34100008,6.359000206,24.93999863
18/07/24 0:52,6.333000183,6.352000237,24.93999863
18/07/24 0:52,6.356000423,6.361000538,24.98999977
18/07/24 0:52,6.355000496,6.366000175,24.95999908
18/07/24 0:52,6.349000454,6.360000134,24.95999908
18/07/24 0:52,6.354000092,6.36400032,24.96999931
18/07/24 0:52,6.317000389,6.362000465,24.84999847
18/07/24 0:52,6.318000317,6.360000134,24.8599987
18/07/24 0:52,6.335000515,6.362000465,24.90999985
18/07/24 0:52,6.33700037,6.361000538,24.92000008
18/07/24 0:52,6.335000515,6.358000278,24.92000008
18/07/24 0:52,6.343000412,6.359000206,24.93999863
18/07/24 0:52,6.338000298,6.356000423,24.93999863
18/07/24 0:52,6.328000069,6.363000393,24.87999916
18/07/24 0:52,6.329000473,6.359000206,24.89999962
18/07/24 0:52,6.335000515,6.362000465,24.89999962
18/07/24 0:52,6.335000515,6.362000465,24.89999962
18/07/24 0:52,6.335000515,6.362000465,24.89999962
18/07/24 0:52,6.336000443,6.346000195,24.95999908
18/07/24 0:52,6.334000111,6.357000351,24.90999985
18/07/24 0:52,6.320000172,6.355000496,24.86999893
