Timestamp,Time,SP,PV,OP,ts
18/07/24 0:26,30,0,-0.49218,0.89177,30
18/07/24 0:26,60,0,-0.33228,0.8679,30
18/07/24 0:27,90,0,-0.18601,0.84371,30
18/07/24 0:27,120,0,-0.020872,0.8126,30
18/07/24 0:28,150,0,0.11408,0.78454,30
18/07/24 0:28,180,0,0.14446,0.77584,30
18/07/24 0:29,210,0,0.40494,0.71802,30
18/07/24 0:29,240,0,0.45073,0.70024,30
18/07/24 0:30,270,0,0.47641,0.68578,30
18/07/24 0:30,300,0,0.51801,0.66744,30
18/07/24 0:31,330,0,0.72734,0.61289,30
18/07/24 0:31,360,0,0.78462,0.58621,30
18/07/24 0:32,390,0,1.0458,0.51539,30
18/07/24 0:32,420,0,1.0202,0.4998,30
18/07/24 0:33,450,0,1.0281,0.47765,30
18/07/24 0:33,480,0,1.0896,0.44404,30
18/07/24 0:34,510,0,1.0303,0.43468,30
18/07/24 0:34,540,0,1.0724,0.4051,30
18/07/24 0:35,570,0,1.0188,0.39487,30
18/07/24 0:35,600,0,1.1842,0.33953,30
18/07/24 0:36,630,0,1.2424,0.30348,30
18/07/24 0:36,660,0,1.179,0.29189,30
18/07/24 0:37,690,0,1.2411,0.25512,30
18/07/24 0:37,720,0,1.2536,0.22755,30
18/07/24 0:38,750,0,1.3948,0.17262,30
18/07/24 0:38,780,0,1.4851,0.12557,30
18/07/24 0:39,810,0,1.4958,0.093511,30
18/07/24 0:39,840,0,1.4957,0.063498,30
18/07/24 0:40,870,0,1.5224,0.027852,30
18/07/24 0:40,900,0,1.4319,0.016372,30
18/07/24 0:41,930,0,1.461,-0.018523,30
18/07/24 0:41,960,0,1.4283,-0.040955,30
18/07/24 0:42,990,0,1.501,-0.084964,30
18/07/24 0:42,1020,0,1.4742,-0.10946,30
18/07/24 0:43,1050,0,1.6059,-0.16682,30
18/07/24 0:43,1080,0,1.5676,-0.19099,30
18/07/24 0:44,1110,0,1.6244,-0.23443,30
18/07/24 0:44,1140,0,1.5682,-0.2552,30
18/07/24 0:45,1170,0,1.4322,-0.258,30
18/07/24 0:45,1200,0,1.4834,-0.29756,30
18/07/24 0:46,1230,0,1.476,-0.32578,30
18/07/24 0:46,1260,0,1.3884,-0.33697,30
18/07/24 0:47,1290,0,1.4512,-0.37808,30
18/07/24 0:47,1320,0,1.4932,-0.41609,30
18/07/24 0:48,1350,0,1.4746,-0.44215,30
18/07/24 0:48,1380,0,1.5876,-0.49558,30
18/07/24 0:49,1410,0,1.5029,-0.50961,30
18/07/24 0:49,1440,0,1.4425,-0.52704,30
