FPF,TPF
0.0,0.0
0.0,0.0
0.004255319148936176,0.6597222222222222
0.006382978723404209,0.779513888888889
0.008510638297872353,0.8975694444444443
0.01063829787234038,0.9599116161616161
0.012765957446808529,0.96875
0.014893617021276562,0.9824810606060606
0.017021276595744705,0.9930555555555559
0.019148936170212738,0.9930555555555556
0.02127659574468089,0.9930555555555556
0.023404255319148914,0.9930555555555556
0.025531914893617058,0.9965277777777779
0.02765957446808509,0.996527777777778
0.029787234042553234,0.9965277777777779
0.03191489361702127,0.9965277777777779
0.03404255319148941,0.9965277777777779
0.03829787234042559,0.9965277777777779
0.04042553191489362,0.9965277777777779
0.04255319148936165,0.9973958333333333
0.044680851063829796,1.0
0.04680851063829783,1.0
0.051063829787234005,1.0
0.057446808510638325,1.0
0.0617021276595745,1.0
0.06808510638297871,1.0
0.07446808510638303,1.0
0.0787234042553191,1.0
0.08297872340425527,1.0
0.09361702127659577,1.0
0.09787234042553195,1.0
0.12127659574468086,1.0
0.15744680851063828,1.0
0.19999999999999996,1.0
1.0,1.0
